,mrr_hybrid_original,mrr_hybrid_mdpr,recall_hybrid_original,recall_hybrid_mdpr,alphas_original,alphas_mdpr
arabic,0.5,0.5009,0.871,0.8747,0.77,0.81
bengali,0.555,0.5379,0.946,0.9279,0.71,0.82
english,0.328,0.3297,0.793,0.8302,1.0,0.95
finnish,0.377,0.3912,0.827,0.8444,0.77,0.8
indonesian,0.481,0.5006,0.9,0.9067,0.9,0.85
japanese,0.36,0.3793,0.794,0.8157,0.99,0.97
korean,0.361,0.3707,0.718,0.7205,1.0,0.86
russian,0.455,0.456,0.815,0.825,0.93,0.98
swahili,0.415,0.4065,0.808,0.8201,0.56,0.85
telugu,0.418,0.384,0.823,0.8034,0.73,0.73
thai,0.507,0.4971,0.883,0.8847,0.84,0.82
mean,0.4324545454545454,0.43217272727272726,0.8343636363636364,0.841209090909091,0.8363636363636364,0.8581818181818182
