,mrr_difference_hybrid_mdpr_better,recall_difference_hybrid_mdpr_better,alphas_compared_to_original,mrr_difference_hybrid_mdpr_better_normalized,recall_difference_hybrid_mdpr_better_normalized
arabic,0.0009000000000000119,0.0037000000000000366,0.040000000000000036,1.0018,1.0042479908151551
bengali,-0.017100000000000004,-0.018100000000000005,0.10999999999999999,0.9691891891891892,0.9808668076109937
english,0.0016999999999999793,0.03720000000000001,-0.050000000000000044,1.0051829268292682,1.0469104665825977
finnish,0.01419999999999999,0.017400000000000082,0.030000000000000027,1.0376657824933686,1.0210399032648128
indonesian,0.019600000000000062,0.006699999999999928,-0.050000000000000044,1.0407484407484409,1.0074444444444444
japanese,0.01930000000000004,0.02169999999999994,-0.020000000000000018,1.0536111111111113,1.0273299748110831
korean,0.009699999999999986,0.0025000000000000577,-0.14,1.0268698060941828,1.003481894150418
russian,0.0010000000000000009,0.010000000000000009,0.04999999999999993,1.0021978021978022,1.0122699386503067
swahili,-0.008500000000000008,0.0121,0.2899999999999999,0.9795180722891567,1.0149752475247524
telugu,-0.033999999999999975,-0.01959999999999995,0.0,0.9186602870813397,0.9761846901579587
thai,-0.00990000000000002,0.0017000000000000348,-0.020000000000000018,0.9804733727810651,1.001925254813137
mean,-0.00028181818181817475,0.006845454545454562,0.021818181818181792,1.0012720932994639,1.0087400845546772
